id,is_iceberg
5941774d,0.529602944851
4023181e,0.589127600193
b20200e4,0.0467494092882
e7f018bb,0.949344336987
4371c8c3,0.525330603123
a8d9b1fd,0.20611409843
29e7727e,0.097858607769
92a51ffb,0.948832035065
c769ac97,0.00404767552391
aee0547d,0.0245778430253
565b28ac,0.022432981059
e04e9775,0.772704541683
8e8161d1,0.00379736791365
4cf4d256,0.535940587521
139e5324,0.135356172919
f156976f,0.00959226768464
68a117cc,0.00584238627926
d9aa7a56,0.016384601593
9005b143,0.418292462826
5f6d3988,0.539450287819
9ad70954,0.20178887248
b9087b9e,0.4375628829
a39a1427,0.282360136509
82fbe8ed,0.219136998057
1fae4879,0.000576123653445
6dd8f13d,0.00580852106214
bbad5958,0.16698114574
54527583,0.111852779984
be8fa29c,0.251307159662
81a3328f,0.959438979626
1a3c0ab3,0.0211949590594
4deeeb8b,0.111015565693
ac6d5632,0.4202888906
472dadb5,0.620007991791
96093f95,0.493691235781
f5b4e3df,0.912291705608
e01a3c92,0.118350587785
001680af,0.5733076334
8e639f33,0.409482985735
a2c16612,0.68285959959
a6d76474,0.00057135138195
19c47684,0.238401964307
015827b6,0.654894828796
7df7f7ce,0.235387295485
0bbf1a3f,0.400869131088
636cfbb7,0.30360648036
7370030a,0.958252131939
43aa97ad,0.000416299590142
ba2b5e63,0.925215005875
dfdd335b,0.316827595234
e79b13dc,0.163810610771
dc32b195,0.455575793982
6d868590,0.540815353394
75fa59aa,0.0486198328435
ffe50836,0.225143283606
a7bfd784,0.614590704441
b3d569e3,0.0405336283147
6c538c5b,0.0638776570559
5c7c15f4,0.121254481375
0b745139,0.0962090939283
fd14608e,0.507062017918
f0bc8305,0.495364308357
a10ccb28,0.905429899693
543304c7,0.438183009624
6c3a4078,0.00155329506379
9b73cc75,0.425413250923
5c6c71b1,0.0230107977986
09ee9186,0.235086485744
207c35cf,0.31041303277
153c813e,0.0784315690398
5605d58b,0.2426469028
642ca396,0.0954204127192
